,,,,KIT,FLUSHBAR,FLUSHBAR MIX,THRUBAR,RAILBAR,RAILBAR MIX,FLUSHBAR,FLUSHBAR MIX,THRUBAR,RAILBAR,RAILBAR MIX,,Descrizione tetto
,,,,,Argento,Argento,Argento,Argento,Argento,Nere,Nere,Nere,Nere,Nere,,originale
Marca,Modello,Anno,Tipo,W-Kit,W-Flush,W-FlushMix,W-Through,W-RailBar,W-RailBarMix,WB-Flush,WB-FlushMix,WB-Through,WB-RailBar,WB-RailBarMix,,Tipo
Alfa Romeo,146,12/94>12/00,Tetto nudo,YK066W,,,Y8050187,,,,,Y8050227,,,,tetto standard
Alfa Romeo,155,01/92>12/97,Tetto nudo,YK066W,,,Y8050187,,,,,Y8050227,,,,tetto standard
Alfa Romeo,159 Sportwagon - railing,03/06>09/13,Barre lungitudinali,YK328W,Y8050181,,,,Y8050210,Y8050221,,,,Y8050247,,railing standard
Alfa Romeo,Giulia (anche tetto vetro),06/16>,Tetto nudo,YK1030W,,Y8050194,Y8050188,,,,Y8050233,Y8050228,,,,tetto standard
Alfa Romeo,Giulietta (anche tettuccio),04/10>,Tetto nudo,YK590W,Y8050179,,Y8050187,,,Y8050219,,Y8050227,,,,tetto standard
Alfa Romeo,Stelvio (anche tetto vetro),03/17>,Tetto nudo,YK1068W,,Y8050195,Y8050188,,,,Y8050234,Y8050228,,,,tetto standard
Audi,A1 Sportback 5p,02/12>10/18,Tetto nudo,YK766W,Y8050180,,Y8050188,,,Y8050220,,Y8050228,,,,tetto standard
Audi,A3 3p,09/12>11/19,Tetto nudo,YK731W,,Y8050195,,,,,Y8050234,,,,,tetto standard
Audi,A3 Sedan 4p,09/13>,Tetto nudo,YK727W,,Y8050195,Y8050188,,,,Y8050234,Y8050228,,,,tetto standard
Audi,A3 Sportback 5p,09/04>10/12,Tetto nudo,YK428W,Y8050180,,Y8050188,,,Y8050220,,Y8050228,,,,tetto standard
Audi,A3 Sportback 5p - profilo,09/04>10/12,Profili integrati,YK695W,,Y8050196,Y8050188,,,,Y8050235,Y8050228,,,,profilo integrato
Audi,A3 Sportback 5p,11/12>04/20,Tetto nudo,YK721W,,Y8050194,Y8050187,,,,Y8050233,Y8050227,,,,tetto standard
Audi,A3 Sportback 5p - profilo,11/12>04/20,Profili integrati,YK772W,,Y8050196,Y8050189,,,,Y8050235,Y8050229,,,,profilo integrato
Audi,A4 4p,01/01>10/07,Tetto nudo,YK377W,Y8050180,,Y8050188,,,Y8050220,,Y8050228,,,,tetto standard
Audi,A4 4p,11/07>10/15,Tetto nudo,YK390W,Y8050180,,Y8050188,,,Y8050220,,Y8050228,,,,tetto standard
Audi,A4 4p,11/15>,Tetto nudo,YK1003W,Y8050180,,Y8050188,,,Y8050220,,Y8050228,,,,tetto standard
Audi,A4 Allroad - railing,04/09>05/16,Barre lungitudinali,YK328W,,Y8050196,Y8050188,Y8050204,,,Y8050235,Y8050228,Y8050241,,,railing standard
Audi,A4 Allroad - railing,06/16>,Barre lungitudinali,YK328W,,Y8050196,Y8050188,Y8050204,,,Y8050235,Y8050228,Y8050241,,,railing standard
Audi,A4 Avant - railing,09/01>10/03,Barre lungitudinali,YK328W,,Y8050194,Y8050188,,Y8050209,,Y8050233,Y8050228,,Y8050246,,railing standard
Audi,A4 Avant - railing,11/03>04/08,Barre lungitudinali,YK328W,,,Y8050188,,Y8050209,,,Y8050228,,Y8050246,,railing standard
Audi,A4 Avant (anche tettuccio) - profilo,05/08>10/15,Profili integrati,YK669W,,Y8050196,Y8050188,,,,Y8050235,Y8050228,,,,profilo integrato
Audi,A4 Avant - profilo,11/15>,Profili integrati,YK669W,,Y8050196,Y8050188,,,,Y8050235,Y8050228,,,,profilo integrato
Audi,A5 Sportback 5p,09/09>07/15,Tetto nudo,YK506W,Y8050181,,Y8050188,,,Y8050221,,Y8050228,,,,tetto standard
Audi,A5 Sportback 5p,09/16>,Tetto nudo,YK707W,Y8050181,,Y8050188,,,Y8050221,,Y8050228,,,,tetto standard
Audi,A6 4p,09/04>03/11,Tetto nudo,YK496W,Y8050181,,Y8050188,,,Y8050221,,Y8050228,,,,tetto standard
Audi,A6 4p,04/11>06/18,Tetto nudo,YK823W,Y8050181,,Y8050188,,,Y8050221,,Y8050228,,,,tetto standard
Audi,A6 Allroad - railing,06/06>02/12,Barre lungitudinali,YK328W,,,Y8050188,,Y8050211,,,Y8050228,,Y8050248,,railing standard
Audi,A6 Allroad - railing,03/12>,Barre lungitudinali,YK328W,,,Y8050188,,Y8050211,,,Y8050228,,Y8050248,,railing standard
Audi,A6 Avant - profilo,03/05>08/11,Profili integrati,YK669W,,Y8050196,Y8050189,,,,Y8050235,Y8050229,,,,profilo integrato
Audi,A6 Avant - profilo,09/11>07/18,Profili integrati,YK695W,Y8050182,,Y8050188,,,Y8050222,,Y8050228,,,,profilo integrato
Audi,A7 Sportback,10/10>03/18,Tetto nudo,YK707W,,Y8050196,Y8050188,,,,Y8050235,Y8050228,,,,tetto standard
Audi,A8,11/02>02/10,Tetto nudo,YK419W,Y8050183,,Y8050189,,,Y8050223,,Y8050229,,,,tetto standard
Audi,A8,03/10>11/17,Tetto nudo,YK916W,,Y8050196,Y8050189,,,,Y8050235,Y8050229,,,,tetto standard
Audi,Allroad - railing,06/00>05/06,Barre lungitudinali,,,,,Y8050204,,,,,Y8050241,,,railing standard
Audi,Q2,11/16>,Tetto nudo,YK1047W,,Y8050195,Y8050188,,,,Y8050234,Y8050228,,,,tetto standard
Audi,Q3 - profilo,10/11>12/18,Profili integrati,YK695W,,Y8050196,Y8050189,,,,Y8050235,Y8050229,,,,profilo integrato
Audi,Q3 - profilo,01/19>,Profili integrati,YK1000W,,Y8050196,Y8050188,,,,Y8050235,Y8050228,,,,profilo integrato
Audi,Q5 - profilo,11/08>02/17,Profili integrati,YK666W,Y8050183,,Y8050189,,,Y8050223,,Y8050229,,,,profilo integrato
Audi,Q5 - profilo,03/17>,Profili integrati,YK666W,,Y8050196,Y8050189,,,,Y8050235,Y8050229,,,,profilo integrato
Audi,Q7 - profilo,03/06>05/15,Profili integrati,YK638W,Y8050182,,Y8050189,,,Y8050222,,Y8050229,,,,profilo integrato
